Gene_ID,Normalized_ID,Comparison,Delta_Beta,FDR,Significance_Tier,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
Phatr3_J48040,phatr3j48040,t1_Mn_deplete_vs_t1_Fe_replete,-4.232503333333334,4.047319950295503e-06,Tier 1 (Hard),2850.Phatr48040,0.0,1563.0,"2E1KZ@1|root,2S8XM@2759|Eukaryota,2XBAX@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Phatr3_EG01435,phatr3eg01435,t1_Fe_deplete_vs_t1_Mn_deplete,-4.0745,0.0,Tier 1 (Hard),159749.K0S5M3,8.93e-12,75.1,"2D2UX@1|root,2SP3U@2759|Eukaryota,2XG67@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Phatr3_J37028,phatr3j37028,t1_Mn_deplete_vs_t1_Fe_replete,-4.073633333333333,8.931473116202682e-06,Tier 1 (Hard),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phatr3_J34358,phatr3j34358,t1_Fe_deplete_vs_t1_Fe_replete,-3.9543633333333337,2.037482627059717e-09,Tier 1 (Hard),2850.Phatr34358,2.01e-175,489.0,"2CF0J@1|root,2SU1R@2759|Eukaryota,2XH1J@2836|Bacillariophyta",2850.Phatr34358|-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Phatr3_J48040,phatr3j48040,t1_Fe_deplete_vs_t1_Fe_replete,-3.7191789066666665,1.824315223331041e-08,Tier 1 (Hard),2850.Phatr48040,0.0,1563.0,"2E1KZ@1|root,2S8XM@2759|Eukaryota,2XBAX@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Phatr3_J34625,phatr3j34625,t1_Fe_deplete_vs_t1_Mn_deplete,-3.6593333333333335,0.0,Tier 1 (Hard),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phatr3_J46409,phatr3j46409,t1_Fe_deplete_vs_t1_Mn_deplete,-3.5147,0.0,Tier 1 (Hard),2850.Phatr46409,5.88e-296,805.0,"2EKXM@1|root,2SQQN@2759|Eukaryota,2XGSZ@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Phatr3_J51811,phatr3j51811,t1_Fe_deplete_vs_t1_Mn_deplete,-3.4799,0.0,Tier 1 (Hard),2850.Phatr51811,2.79e-238,656.0,"COG0181@1|root,KOG2892@2759|Eukaryota,2XACS@2836|Bacillariophyta",2836|Bacillariophyta,H,"Porphobilinogen deaminase, dipyromethane cofactor binding domain",-,-,2.5.1.61,ko:K01749,"ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120",M00121,R00084,RC02317,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Porphobil_deam,Porphobil_deamC"
Phatr3_J47323,phatr3j47323,t1_Fe_deplete_vs_t1_Mn_deplete,-3.42967,0.0,Tier 1 (Hard),2850.Phatr47323,0.0,1429.0,"COG5409@1|root,KOG1162@2759|Eukaryota,2XFGE@2836|Bacillariophyta",2836|Bacillariophyta,U,EXS family,-,-,-,-,-,-,-,-,-,-,-,-,EXS
Phatr3_J9987,phatr3j9987,t1_Fe_deplete_vs_t1_Mn_deplete,-3.2549866666666665,0.0,Tier 1 (Hard),2850.Phatr9987,2.83e-243,675.0,"COG0533@1|root,KOG2707@2759|Eukaryota,2XB61@2836|Bacillariophyta",2836|Bacillariophyta,O,Glycoprotease family,-,-,2.3.1.234,ko:K01409,-,-,R10648,"RC00070,RC00416","ko00000,ko01000,ko03016",-,-,-,Peptidase_M22
Phatr3_J34241,phatr3j34241,t1_Fe_deplete_vs_t1_Mn_deplete,-3.2333333333333334,0.0,Tier 1 (Hard),2850.Phatr34241,3.15e-269,737.0,"2C8IH@1|root,2SZM3@2759|Eukaryota,2XDWI@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Phatr3_J43570,phatr3j43570,t1_Fe_deplete_vs_t1_Mn_deplete,-3.21512,0.0,Tier 1 (Hard),2850.Phatr43570,0.0,936.0,"2EIRD@1|root,2SP3Q@2759|Eukaryota,2XCH0@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Phatr3_J35855,phatr3j35855,t1_Fe_deplete_vs_t1_Mn_deplete,-3.1850000000000005,2.271314449651321e-13,Tier 1 (Hard),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phatr3_J49629,phatr3j49629,t1_Fe_deplete_vs_t1_Mn_deplete,-3.1797733333333333,2.271314449651321e-13,Tier 1 (Hard),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phatr3_J43026,phatr3j43026,t1_Fe_deplete_vs_t1_Mn_deplete,-3.1732033333333334,2.271314449651321e-13,Tier 1 (Hard),2850.Phatr43026,3.19e-313,858.0,"2BXNE@1|root,2RW6X@2759|Eukaryota,2XDEY@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Phatr3_J31474,phatr3j31474,t1_Fe_deplete_vs_t1_Mn_deplete,-3.1271733333333334,4.1640764910274203e-13,Tier 1 (Hard),2850.Phatr31474,0.0,1788.0,"2CNPA@1|root,2QXB5@2759|Eukaryota,2XASP@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,RAP
Phatr3_J40550,phatr3j40550,t1_Fe_deplete_vs_t1_Mn_deplete,-3.12053,5.765644372191813e-13,Tier 1 (Hard),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phatr3_J49387,phatr3j49387,t1_Fe_deplete_vs_t1_Mn_deplete,-3.0884466666666666,1.070762526264194e-12,Tier 1 (Hard),2850.Phatr49387,3.09e-233,642.0,"KOG0118@1|root,KOG0118@2759|Eukaryota,2XFA9@2836|Bacillariophyta",2836|Bacillariophyta,A,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",-,-,-,ko:K11294,"ko05130,map05130",-,-,-,"ko00000,ko00001,ko03009,ko03036",-,-,-,RRM_1
Phatr3_J49114,phatr3j49114,t1_Fe_deplete_vs_t1_Mn_deplete,-3.00292,5.465350394473489e-12,Tier 1 (Hard),2850.Phatr49114,0.0,1003.0,"COG0459@1|root,KOG0363@2759|Eukaryota,2XBN2@2836|Bacillariophyta",2836|Bacillariophyta,O,assists the folding of proteins upon ATP hydrolysis,-,-,-,ko:K09494,-,-,-,-,"ko00000,ko03036,ko03110,ko04147",-,-,-,Cpn60_TCP1
Phatr3_J50806,phatr3j50806,t1_Fe_deplete_vs_t1_Mn_deplete,-3.0008833333333333,5.465350394473489e-12,Tier 1 (Hard),2850.Phatr50806,0.0,1190.0,"COG0115@1|root,KOG0975@2759|Eukaryota,2XAXT@2836|Bacillariophyta",2836|Bacillariophyta,E,Amino-transferase class IV,-,-,-,-,-,-,-,-,-,-,-,-,Aminotran_4
Phatr3_EG00100,phatr3eg00100,t1_Mn_deplete_vs_t1_Fe_replete,-2.99506,0.0056951149186202,Tier 1 (Hard),2850.Phatrdraft1265,3.44e-22,96.3,"COG2114@1|root,KOG3689@1|root,KOG1023@2759|Eukaryota,KOG3689@2759|Eukaryota,2XAYH@2836|Bacillariophyta",2836|Bacillariophyta,T,"Adenylyl- / guanylyl cyclase, catalytic domain",-,-,-,-,-,-,-,-,-,-,-,-,"Guanylate_cyc,PDEase_I"
Phatr3_EG00173,phatr3eg00173,t1_Fe_deplete_vs_t1_Fe_replete,-2.9476976666666665,4.226590657496754e-05,Tier 1 (Hard),159749.K0R708,1.19e-34,136.0,"COG2801@1|root,KOG0017@2759|Eukaryota,2XF4I@2836|Bacillariophyta",159749.K0R708|-,L,Reverse transcriptase (RNA-dependent DNA polymerase),-,-,-,-,-,-,-,-,-,-,-,-,-
Phatr3_J49830,phatr3j49830,t1_Fe_deplete_vs_t1_Mn_deplete,-2.9181976666666665,2.7042002624083952e-11,Tier 1 (Hard),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phatr3_J33007,phatr3j33007,t1_Fe_deplete_vs_t1_Mn_deplete,-2.907853333333333,3.136937623240657e-11,Tier 1 (Hard),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phatr3_J46817,phatr3j46817,t1_Fe_deplete_vs_t1_Mn_deplete,-2.8958166666666667,3.7739682723943245e-11,Tier 1 (Hard),2850.Phatr46817,2.31e-142,401.0,"2CZNB@1|root,2SB0G@2759|Eukaryota",2759|Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Phatr3_J44374,phatr3j44374,t1_Fe_deplete_vs_t1_Mn_deplete,-2.88809,4.1724046440094745e-11,Tier 1 (Hard),2850.Phatr44374,2.99e-135,388.0,"2EKIT@1|root,2SQEX@2759|Eukaryota,2XGQH@2836|Bacillariophyta",2836|Bacillariophyta,O,Thioredoxin,-,-,-,-,-,-,-,-,-,-,-,-,Thioredoxin
Phatr3_J27972,phatr3j27972,t1_Fe_deplete_vs_t1_Mn_deplete,-2.882203333333333,4.461510526100808e-11,Tier 1 (Hard),2850.Phatr27972,3.6800000000000004e-245,673.0,"COG0278@1|root,KOG0911@2759|Eukaryota,2XABW@2836|Bacillariophyta",2836|Bacillariophyta,O,Glutaredoxin,-,-,-,-,-,-,-,-,-,-,-,-,"Glutaredoxin,Thioredoxin"
Phatr3_J18246,phatr3j18246,t1_Fe_deplete_vs_t1_Mn_deplete,-2.872573333333333,5.144527228460241e-11,Tier 1 (Hard),2850.Phatr18246,0.0,931.0,"COG0169@1|root,KOG0692@2759|Eukaryota,2XB2K@2836|Bacillariophyta",2836|Bacillariophyta,E,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase),-,-,2.5.1.19,ko:K00800,"ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230",M00022,R03460,RC00350,"ko00000,ko00001,ko00002,ko01000",-,-,-,EPSP_synthase
Phatr3_J47041,phatr3j47041,t1_Fe_deplete_vs_t1_Mn_deplete,-2.860073333333333,6.069141485672465e-11,Tier 1 (Hard),2850.Phatr47041,1.51e-128,367.0,"29NS1@1|root,2RW34@2759|Eukaryota,2XDC3@2836|Bacillariophyta",2836|Bacillariophyta,K,Histone-like transcription factor (CBF/NF-Y) and archaeal histone,-,-,-,-,-,-,-,-,-,-,-,-,CBFD_NFYB_HMF
Phatr3_J12452,phatr3j12452,t1_Fe_deplete_vs_t1_Mn_deplete,-2.859656666666667,6.069141485672465e-11,Tier 1 (Hard),2850.Phatr12452,0.0,1553.0,"COG0474@1|root,KOG0205@2759|Eukaryota,2XERX@2836|Bacillariophyta",2836|Bacillariophyta,P,"Cation transporter/ATPase, N-terminus",-,-,3.6.3.6,ko:K01535,"ko00190,map00190",-,-,-,"ko00000,ko00001,ko01000",3.A.3.3,-,-,"Cation_ATPase_N,E1-E2_ATPase,Hydrolase"
Phatr3_J7072,phatr3j7072,t1_Fe_deplete_vs_t1_Mn_deplete,-2.8570966666666666,6.126189333599542e-11,Tier 1 (Hard),2850.Phatr7072,3.16e-119,342.0,"COG1936@1|root,KOG3347@2759|Eukaryota,2XBXY@2836|Bacillariophyta",2836|Bacillariophyta,F,Broad-specificity nucleoside monophosphate (NMP) kinase that catalyzes the reversible transfer of the terminal phosphate group between nucleoside triphosphates and monophosphates. Has also ATPase activity,-,-,2.7.4.3,ko:K18532,"ko00230,ko01100,ko01110,ko01130,ko03008,map00230,map01100,map01110,map01130,map03008",M00049,"R00127,R01547",RC00002,"ko00000,ko00001,ko00002,ko01000,ko03009",-,-,-,AAA_18
